Unnamed: 0,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,diff_premise_probs,diff_hypothesis_probs
0,a man with a beard is talking on the cellphone and standing next to someone who is lying down on the street.,a man is prone on the street while another man stands next to him.,a man with a hat is relaxing on a cellphone and walks next to someone who is gazing down on the street.,[CLS] man is lying against the floor of another man kneeling next to him.,1,0,0,0.21739130434782608,0.5333333333333333,37.80463790893555,40.56631088256836,0.9869836373254657,0.9739064378663898
1,a kid slides down a yellow slide into a swimming pool.,the child slides into the pool.,a foreman drinks down a man slide into a swimming pool.,the four change into the pool.,1,0,0,0.25,0.2857142857142857,91.55279541015625,81.45755767822266,0.9941540189902298,0.9949418135802262
2,a woman talks on a cellphone while sitting in front of blue railings that are in front of the ocean.,she has a conversation on her phone outdoors,a woman comes in a rowanphone while sitting in front of two liness that are in front of the throat.,she has a bear on her phone after,1,2,0,0.2857142857142857,0.25,51.54115676879883,142.83810424804688,0.9407796151936054,0.9490240519953659
3,"a lady, dressed in a costume, is posing with an axe in the middle of the woods.",a lady with an axe is posing in the middle of the woods.,"a masked, dressed in a costume, is seen with an expanse in the middle of the woods.",a knight with an eagle is shown in the middle of the woods.,1,2,0,0.15,0.21428571428571427,22.313596725463867,27.698923110961914,0.8359339162707329,0.9967172987526283
4,a man in a boom lift bucket welds.,a man is working.,a man in a midtown coat frame marlborough smokes.,[CLS] man is unemployed.,1,2,0,0.5555555555555556,0.8,473.92059326171875,281.56939697265625,0.6485280394554138,0.9901032827328891
5,"runners in various athletic garb, as well as one individual in a spotted - green dragon costume, run to the right.",runners see a dragon costumed person,"dogs in appropriate athletic garb, as well as one chapter in a japan in green dragon book, ride to the right.",macdonald ride a dragon costume in plush,1,0,0,0.2916666666666667,0.8333333333333334,246.4342803955078,298.07989501953125,0.5898193717002869,0.6649903655052185
6,"rider in ceremonial garb rides white arabian horse, also wearing ceremonial blankets and tassels.",the rider and horse are covered in gear.,"depicted in simplest garb ʔ statue vases, and wearing black curls and tassels.",[CLS] rider and bicycles are covered in baskets.,1,0,0,0.5625,0.5555555555555556,205.16781616210938,283.6061096191406,0.9846988591598347,0.9995246204780415
7,"two uniformed women, wearing jackets saying "" politie "" on the back, are looking at each other in front of a crowd.",the women are wearing clothes,"two shave women, a stone inscribed "" tipitie "" on the back, are positioned at each other in front of a table.",[CLS] women are wearing pajamas,1,2,0,0.28,0.8,58.90111541748047,104.40252685546875,0.7608653288334608,0.9990959253627807
8,a young man standing outside a laundromat.,a man is standing.,"a special man, at a laundromat.",[CLS] man is thrown up,1,2,0,0.375,1.0,84.76884460449219,98.96526336669922,0.5812386469915509,0.9985831054946175
9,two people bicycle on a path separated by small mountains.,two people are riding on bikes outside.,two spheres stands on a wall separated by several hills.,winning people are riding on them together.,1,0,2,0.45454545454545453,0.375,172.5142364501953,152.52609252929688,0.9992482635716442,0.9299518801271915
10,bubbles surround a statue in the middle of a street.,there are bubbles around the statue.,it is a statue in the middle of the park.,missiles are positioned around the statue.,1,2,0,0.36363636363636365,0.2857142857142857,68.85948944091797,31.211000442504883,0.9253943338990211,0.9990954932291061
11,a young boy hanging on a pole smiling at the camera.,the young boy is smiling.,a young boy tattooed on a wall pointing at the camera.,the young boy is interviewed.,1,2,2,0.25,0.16666666666666666,61.314064025878906,38.10004425048828,0.9770874343812466,0.5413150154054165
12,a man sits on a couch beside a colorful cushion with a pencil in his hand.,the man is holding a pencil.,a man sits on a couch beside a white couch with a bag in his hand.,[CLS] man is holding a cigarette.,1,0,0,0.17647058823529413,0.5714285714285714,48.761077880859375,20.815277099609375,0.714359609701205,0.9774695917149074
13,"three men in yellow green safety vests sit on a bench yawning, smoking and having a break.",there are people seated.,"three men in a green jacket shines them on a wall sewning, charging and having a gun.",victims are gang heads.,1,0,2,0.42105263157894735,0.6,165.4010467529297,277.84747314453125,0.9938730517751537,0.9003543970175087
14,"a man in gray on a rocky cliff, overlooking the mountains.",a man can see mountains from where he stands.,"a light in blue on a green swirl, in the attic.",a man can see it from where he dies.,1,0,2,0.46153846153846156,0.2,80.12308502197266,112.83084106445312,0.9985188491700683,0.74643225222826
15,a hockey player in blue and red guarding the goal.,a person playing a sport,a taft player in mel and red represent the character.,[CLS] blue playing a restricted,1,2,2,0.36363636363636365,1.0,259.26019287109375,519.9525146484375,0.39245492964982986,0.6716775670647621
16,people standing in front of a gray building with a sign that reads'tickets available here '.,the people are standing outside.,people sit in front of a red sofa with a sign that reads'soul lies here '.,[CLS] people are eating outside.,1,0,0,0.29411764705882354,0.6666666666666666,204.23779296875,134.57119750976562,0.9985204157419503,0.7371415314264596
17,a solo shot of a man riding a four wheeler in an atv event.,the man is entered in a event.,a video shot of a man riding a white horse in an avalanche landscape.,[CLS] two is set in a dream.,1,2,0,0.3333333333333333,0.75,135.4821319580078,100.17916870117188,0.8516288548707962,0.9260172275826335
18,a skier ski - jumping while two other skiers watch his act.,a skier preparing a trick,a psychiatrist achievement in riding while two other skiers watch his act.,[CLS] skier folding a chair,2,0,0,0.3076923076923077,1.0,263.9073791503906,551.4283447265625,0.8159676566720009,0.9549057260155678
19,large brown dog walking in shallow water.,a brown dog is walking outside,a hot dog inside in boiling water.,[CLS] brown dog is classified first,1,0,2,0.5,0.8333333333333334,440.83648681640625,183.5300750732422,0.9910623487085104,0.7672010064125061
20,a man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat.,two males are involved in martial arts.,"a sport in a red shirt and white pants, fly in the air performing a fly sax or a woman in a red shirt and black tie.",[CLS] students are involved in rebellious dancing.,1,0,0,0.3448275862068966,0.75,52.25282669067383,79.15481567382812,0.9676121545198839,0.9904000831011217
21,a guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,a man is eating a marshmallow.,a scene in films is kicking into a young marshmallow car while someone else is stretchering their way out using a car.,[CLS] man is cooking a brookmallow.,1,0,0,0.43478260869565216,0.7142857142857143,218.07615661621094,111.4781494140625,0.9427690953016281,0.9467760771512985
22,a man wearing a red vest is walking past a black and green fence.,a man is wearing a vest.,a group wearing a red hat is walking past a blue and white fence.,[CLS] black is wearing a sunglasses.,1,0,2,0.26666666666666666,0.7142857142857143,99.79203033447266,56.56102752685547,0.9425584613636602,0.9260397301986814
23,a young girl with water wings leaps into a crowded pool,there are people in a pool.,a beautiful girl with balloon wings transforms into a outdoor air,they are standing in a maze.,1,0,0,0.45454545454545453,0.42857142857142855,116.94168853759766,267.49920654296875,0.9213893626874778,0.9993059252446983
24,a man sitting on steps with a child as a bystander walks by.,a man and a child sitting on steps saw a bystander.,a gig sitting on ten with a sights as a bystander walks by.,[CLS] man and a child sitting on steps chases a bystander.,1,0,0,0.21428571428571427,0.3333333333333333,47.4085693359375,247.515625,0.8272622246295214,0.983984412625432
25,the girl wearing a brown jacket whilst walking in snow.,the girl is walking outside.,the girl becomes a purple dress while dressed in makeup.,[CLS] girl is crying..,1,0,0,0.5454545454545454,1.0,214.2802734375,128.03358459472656,0.8743411437026225,0.8808525339118205
26,a young woman wearing a yellow shirt and off - white shorts is reading a book while sitting on a park bench.,a woman reading a book while sitting on a bench.,a white man wearing a red shirt and black a white shorts is wearing a book while sitting on a park bench.,[CLS] woman licking a book while sitting on a bench.,1,0,0,0.2608695652173913,0.36363636363636365,47.628028869628906,26.207529067993164,0.9971106075099669,0.9972330950549804
27,"an asian woman in a purple shirt preparing a bowl of food for the younger asian boy sitting near buy, while an asian man eats a roll and prepares to take some food up with his chopsticks.",a woman is preparing food for a child.,"an asian man in a white shirt provides a lot of food for the other asian traders sitting on stool, while an asian man eats a lot and seems to take some food off with his chopsticks.",[CLS] chinese is preparing food for a funeral.,1,0,2,0.28205128205128205,0.5555555555555556,77.5336685180664,43.86640167236328,0.9990135508123785,0.6864617732353508
28,a woman and child are on a boat and the woman is looking out into the ocean through a scope.,a lady is looking through a scope at the ocean.,a portrait and man are in a boat and the family is looking out into the future through a portal.,[CLS] smiley is looking through a hole in the ocean.,1,0,2,0.2857142857142857,0.5454545454545454,52.22583770751953,62.12440490722656,0.9880887395702302,0.6133110374212265
29,an indian woman stands in an outdoor marketplace.,a female is outdoors at a bazaar.,an added view appears in an outdoor commercial.,a woman is dancing at a picnic.,1,2,0,0.4444444444444444,0.375,92.549072265625,372.55596923828125,0.9727102257311344,0.9993344264512416
30,two teen boys in school clothes are walking with something in a garbage bag.,two boys are walking together carrying a bag.,two adolescent boys in school who are hidden in handcuffs in a garbage bag.,the boys are eating together sharing the bag.,1,0,0,0.3333333333333333,0.4444444444444444,91.28591918945312,74.3351058959961,0.9562690218444914,0.8573757966514677
31,"two children, both wearing tan coats, are embracing one another.",two kids are hugging.,"two pairs, both wearing red suits, are eating one another.",[CLS] children are classmates.,1,0,2,0.3076923076923077,1.0,140.17178344726562,127.26834106445312,0.9992873936280375,0.9786816788837314
