orig_pred,contrast_pred,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,orig_contrast_probs,pred_edit_premise_probs,pred_edit_hypo_probs,diff_premise_probs,diff_hypothesis_probs
entailment,neutral,A man with a beard is talking on the cellphone and standing next to someone who is lying down on the street.,A man is prone on the street while another man stands next to him., A man with  a beard  is talking on  his cellphone while another man stands next  to him down on the street.,A man is prone on  the street while another patient lies next to him.,1,0,2,0.5652173913043478,0.2,39.16848373413086,40.1094970703125,0.0775471180677414,0.8708081245422363,0.8582528233528137,0.8618023796007037,0.7807057052850723
entailment,neutral,A kid slides down a yellow slide into a swimming pool.,The child slides into the pool., Person sliding down a  slide into the pool.,The child slides into the school pool.,1,2,2,0.5,0.14285714285714285,37.732086181640625,136.5138702392578,0.010329825803637505,0.8814272284507751,0.9937878251075745,0.8710974026471376,0.983457999303937
entailment,neutral,A woman talks on a cellphone while sitting in front of blue railings that are in front of the ocean.,She has a conversation on her phone outdoors," A woman is on  her phone, while sitting  in front  of railings that are  in front of the ocean.",She has a conversation  on her iPhone,1,2,2,0.47619047619047616,0.375,54.54048538208008,111.06037902832031,0.040782880038022995,0.8059231042861938,0.9924259185791016,0.7651402242481709,0.9516430385410786
entailment,neutral,"A lady, dressed in a costume, is posing with an axe in the middle of the woods.",A lady with an axe is posing in the middle of the woods.,", dressed in  green,  posing with  an axe in  the middle of the woods.",A lady with an axe  is posing happily in the middle of the woods.,1,2,2,0.35,0.14285714285714285,22.010299682617188,44.43198776245117,0.03171629458665848,0.9205288290977478,0.9935740828514099,0.8888125345110893,0.9618577882647514
entailment,neutral,A man in a boom lift bucket welds.,A man is working.,A man in red nods.,A man  is working outdoors,1,2,2,0.5555555555555556,0.4,683.0808715820312,202.60888671875,0.265394389629364,0.8922435641288757,0.8198432326316833,0.6268491744995117,0.5544488430023193
entailment,neutral,"Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right.",Runners see a dragon costumed person,"Runners in  dark athletic garb,  watched as  one in a spotted-dangerous costume, run to the right.",Runners see a dragon tarot person,1,2,2,0.3333333333333333,0.16666666666666666,101.98861694335938,355.13739013671875,0.2271120399236679,0.9800221920013428,0.6650667786598206,0.7529101520776749,0.43795473873615265
entailment,neutral,"Rider in ceremonial garb rides white Arabian horse, also wearing ceremonial blankets and tassels.",The rider and horse are covered in gear.,Rider  ofal  denies  clothing and blankets   to dhones.,The monk and horse are covered in gear.,1,0,2,0.875,0.1111111111111111,150.10740661621094,908.0753784179688,0.010018883273005486,0.9387686848640442,0.444999635219574,0.9384905371116474,0.4349807519465685
entailment,neutral,"Two uniformed women, wearing jackets saying ""Politie"" on the back, are looking at each other in front of a crowd.",The women are wearing clothes," Two women, saying  ""Welcome"" on the back, are looking at each other in front of  a crowd on stage.", The women are wearing blue clothes,1,2,2,0.36,0.4,49.97806930541992,96.45637512207031,0.008102299645543098,0.5738060474395752,0.9887561202049255,0.5657037477940321,0.9806538205593824
entailment,neutral,A young man standing outside a laundromat.,A man is standing., Pedestrians stand outside the laundromat.,A man  is standing outside.o.m,1,2,2,0.625,0.4,105.43839263916016,56.99961853027344,0.0043501658365130424,0.6595912575721741,0.9190893173217773,0.655241091735661,0.9147391514852643
entailment,neutral,Two people bicycle on a path separated by small mountains.,Two people are riding on bikes outside.,  People by the mountains.,Two people are riding on bikes downhill.,1,0,2,0.7272727272727273,0.125,98.42134857177734,438.7283630371094,0.017208483070135117,0.6588186621665955,0.6086751818656921,0.6585916254261974,0.591466698795557
entailment,neutral,Bubbles surround a statue in the middle of a street.,There are bubbles around the statue., Blurry clouds surround  an orange statue in  the middle of the street.,There are bubbles around the famous statue.,1,0,2,0.7272727272727273,0.14285714285714285,41.95157241821289,126.87606048583984,0.00626751035451889,0.7184240818023682,0.9993647933006287,0.7182117041666061,0.9930972829461098
entailment,neutral,A young boy hanging on a pole smiling at the camera.,The young boy is smiling., A toddler is hanging on  and smiling at the camera.,The young boy is laughing.,1,2,2,0.4166666666666667,0.16666666666666666,43.537391662597656,129.86935424804688,0.012479130178689957,0.8427523970603943,0.9264213442802429,0.8302732668817043,0.913942214101553
entailment,neutral,A man sits on a couch beside a colorful cushion with a pencil in his hand.,The man is holding a pencil.,A  man sits on  a sidewalk beside  buildings with  something in his hand.,The man  is holding a pencil blankly,1,2,2,0.47058823529411764,0.2857142857142857,49.44035720825195,70.09942626953125,0.010562778450548649,0.9983364939689636,0.8751951456069946,0.987773715518415,0.864632367156446
entailment,neutral,"Three men in yellow green safety vests sit on a bench yawning, smoking and having a break.",There are people seated., Three men  in vests on   a  sidewalk talking and having fun., There are many people seated.,1,0,2,0.6842105263157895,0.4,131.41650390625,485.19195556640625,0.003949630539864302,0.37340641021728516,0.596312403678894,0.3731831828481518,0.5923627731390297
entailment,neutral,"A man in gray on a rocky cliff, overlooking the mountains.",A man can see mountains from where he stands.,"  A man   wearing gray on  a    gray sofa  in   southwestern Ontario, overlooking the mountains.",A man can see  mountains from where he climbed.,1,2,2,0.9230769230769231,0.2,127.37154388427734,163.6121063232422,0.050392381846904755,0.5245754718780518,0.6191107630729675,0.474183090031147,0.5687183812260628
entailment,neutral,A hockey player in blue and red guarding the goal.,a person playing a sport,-1,a person  is a goalie,1,2,2,1.0,0.6,268.98406982421875,726.65673828125,0.021702133119106293,0.7291749119758606,0.9761912822723389,0.7074727788567543,0.9544891491532326
entailment,neutral,People standing in front of a gray building with a sign that reads' Tickets Available Here'.,The people are standing outside.,  People   with   a sign   that reads ' Available Here'., The people are supporters.,1,2,2,0.5789473684210527,0.5,161.97445678710938,293.1630554199219,0.03337116912007332,0.8873694539070129,0.9987106323242188,0.8539982847869396,0.9653394632041454
entailment,neutral,A solo shot of a man riding a four wheeler in an atv event.,The man is entered in a event., A shot of a  man riding a motocross event.,The man is entered in a competition.,1,2,2,0.5333333333333333,0.125,74.67057037353516,200.06686401367188,0.13888566195964813,0.49995648860931396,0.9316073656082153,0.36107082664966583,0.7927217036485672
neutral,entailment,A Skier ski-jumping while two other skiers watch his act.,A skier preparing a trick, A Skier ski sjumping while two other skiers watch his act.,A  skier does a trick,2,1,1,0.23076923076923078,0.4,183.1984405517578,338.6633605957031,0.1461733728647232,0.475295752286911,0.951852560043335,0.3291223794221878,0.8056791871786118
entailment,neutral,Large brown dog walking in shallow water.,A brown dog is walking outside, Dog is walking in water.,A brown dog is playing outside,1,2,2,0.5,0.16666666666666666,118.26042175292969,141.07655334472656,0.18277496099472046,0.9969931840896606,0.8056045770645142,0.8142182230949402,0.6228296160697937
