orig_text,gen_text,grammar_score,cohesiveness_score,likableness_score,fluency_score,contrast_pred
A young family enjoys feeling ocean waves lap at their feet. A family is out at a restaurant.,A young family enjoys surfing waves outside at their home. A family is enjoying surfing at a beach.,5,5,5,5,entailment
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is near a pile of coconuts.","A person wearing a red shirt, jeans working a hand with a bag of coconuts on the ground. A person is near a bag of coconuts.",5,5,5,5,entailment
A man standing in front of a building on the phone as two men to the side pain on the side. two girls walk through a hall,A man standing in front of a camera on the ground as two girls stand to the camera on the ground. two girls stand behind a camera,3,1,0,-1,entailment
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street. An old lady pushing a stroller down a busy street.","A person dressed in a red shirt with flowers and a striped beetle to it, is pushing a dog down the street. An animal pushing a dog down a street.",5,1,2,4,entailment
"Two children, both wearing tan coats, are embracing one another. Two kids are hugging.","Two children, both black and white twins, are embracing each other. Two kids are hugging.",5,5,5,5,entailment
"Women of India performing with blue streamers, in beautiful blue costumes. indian women perform together in gorgeous costumes","Women of India performing with costumes, in beautiful costumes. indian women perform together in gorgeous costumes",5,5,5,5,entailment
A couple is eating outside at a table and he is pointing at something. A couple is eating inside at a table and he is pointing at something.,A couple is eating at a restaurant and he is looking at food. A couple is eating food at a restaurant and he is pointing at food.,5,-1,5,-1,entailment
A man of the cloth puts a black substance on a man's forehead. The women are at the park.,A group of the men puts a chemical substance on a man's face. The men are using the chemical substance.,5,5,3,-1,entailment
Men wearing blue uniforms sit on a bus. Men drive the bus into the ocean.,Men wearing white helmets sit on a boat. Men drive the boat into the ocean.,5,3,3,5,neutral
Two men climbing on a wooden scaffold. Two sad men climbing on a wooden scaffold.,Two men climbing on a mountain. Two men climbing on a mountain.,-1,5,5,5,entailment
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow. An old woman has a jean jacket.","An old man in a white hat and an old woman in a white hat are standing outside, but are standing mostly in front. An old woman has a white shirt.",5,3,3,5,entailment
The girl wearing a brown jacket whilst walking in snow. The girl is walking outside.,The girl wearing a blue shirt whilst sitting in bed. The girl is sleeping.,5,3,3,4,entailment
A dog standing near snow looking at water. A cat is laying on the couch.,A man near him looking at water. A man is laying on the beach.,5,3,4,5,entailment
A group of people gathered at night watching an event. A group of humans are looking at the same direction.,A group of people pointing at each other watching an audience. A group of people are looking at the opposite direction.,4,1,1,3,contradiction
A person in a red shirt is mowing the grass with a green riding mower. A person in red is swimming in the Olympics.,A person in a white dress is masked by the camera with a microphone. A person in white is masked in the background.,4,3,2,4,entailment
A large group of people walking in a busy city at night. People are outside in a park.,A large group of people sitting in a small city at night. People are sitting in a large group.,5,5,5,5,entailment
Two little boys are smiling and laughing while one is standing and one is in a bouncy seat. The little boys are crying.,Two little boys are smiling and smiling while one is smiling and one is in a bouncy room. The little boys are smiling.,5,5,5,5,entailment
Island native fishermen reeling in their nets after a long day's work. The men are finishing their day of work.,Islanders reeling in their sand after a long day's sleep. The islanders are enjoying their day of sleep.,5,5,5,5,entailment
People are on an escalator waiting to get to their destination while looking outside of the glass that makes up the wall. People are taking the elevator.,People are on an intersectional street waiting to get to their destination while standing outside of the building that makes up the building. People are outside the building.,5,5,5,5,entailment
"A boy is riding down the road between two cows. A boy, a road and two cows.","A man is walking down the street with two swords. A man, a man and two swords.",5,1,3,5,entailment
A boy is riding down the road between two cows. A single cow is alone.,A single man is walking down the street between two poles. A single man is walking.,5,5,5,5,entailment
A man wearing a red vest is walking past a black and green fence. A man is wearing a vest.,A man wearing a blue shirt is walking past a black and green street. A man is walking past a black and green street.,5,4,5,-1,entailment
Several men at a bar watch a sports game on the television. Some men are watching TV at a bar.,Several people at a mall watch a movie on the street. Some people are watching movies at a mall.,5,5,5,5,entailment
A man holding a baby who is petting a pony. A man with a baby is petting a pony.,A man wearing a blue shirt who is letting a table. A man with a red shirt is letting a table.,5,2,4,4,entailment
a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage. A climber pulls himself up 5000 feet up over a forest,a man wearing a blue shirt is pulling himself up some rocks and rocks high above some rocks. A climber pulls himself up 5000 feet up over a rock,1,1,3,4,neutral
"Two formally dressed, bald older women Two long-haired young women.","Two bald, bald women Two long-haired black women.",5,1,1,1,entailment
"One young boy in a yellow long-sleeved shirt and jeans sitting down, with five adults in front of him, one operating a video camera. An adult using a video camera.","One young boy in a long-sleeved shirt and walking down, with five children in front of him, one wearing a black shirt. An older boy using a video camera.",5,2,3,4,contradiction
"A lady is helping another woman work in a silver compartment, which is most likely related to nurse-work. Two woman are trying to finish orders from a doctor","A man is helping another woman jump in a field, which is most difficult to cross-country. Two woman are trying to jump from a field",4,2,3,5,neutral
