orig_pred,contrast_pred,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise
entailment,neutral,A man with a beard is talking on the cellphone and standing next to someone who is lying down on the street.,A man is prone on the street while another man stands next to him.,A man with a beard talks on the cellphone.,A man is standing next to someone who is lying down on the street.,1,0,1,0.6086956521739131,0.7333333333333333,9.382574081420898,36.14338302612305
entailment,neutral,A woman talks on a cellphone while sitting in front of blue railings that are in front of the ocean.,She has a conversation on her phone outdoors,A woman talks on a cellphone.,She talks on her phone near the ocean.,1,2,1,0.6666666666666666,0.875,31.085512161254883,53.51514434814453
entailment,neutral,A man in a boom lift bucket welds.,A man is working.,A man in a boom lift bucket welds.,A man is working in a boom lift bucket.,1,1,1,0.0,1.0,76.27272033691406,261.99713134765625
entailment,neutral,"Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right.",Runners see a dragon costumed person,Runners in various athletic garb run to the right.,Runners see a person in a spotted-green costume.,1,0,1,0.5833333333333334,1.3333333333333333,47.907142639160156,178.94012451171875
entailment,neutral,"Rider in ceremonial garb rides white Arabian horse, also wearing ceremonial blankets and tassels.",The rider and horse are covered in gear.,Rider rides horse.,The rider and horse are dressed in ceremonial attire.,1,2,1,0.75,0.3333333333333333,73.7411880493164,104.37924194335938
entailment,neutral,"Two uniformed women, wearing jackets saying ""Politie"" on the back, are looking at each other in front of a crowd.",The women are wearing clothes,Two uniformed women are looking at each other.,"Two uniformed women, wearing jackets saying ""Politie"" on the back, are looking at each other in front of a crowd outside.",1,1,1,0.64,4.8,10.101320266723633,34.1108283996582
entailment,neutral,A young man standing outside a laundromat.,A man is standing.,A young man stands outside a laundromat.,A young man is standing outside a laundromat.,1,1,1,0.125,0.8,9.226198196411133,24.366737365722656
entailment,neutral,Two people bicycle on a path separated by small mountains.,Two people are riding on bikes outside.,Two people bicycle.,Two people are riding bicycles on a path.,1,1,1,0.6363636363636364,0.375,54.9933967590332,131.29598999023438
entailment,neutral,A young boy hanging on a pole smiling at the camera.,The young boy is smiling.,A young boy hangs on a pole.,A young boy is smiling at the camera.,1,2,1,0.4166666666666667,0.6666666666666666,25.351343154907227,35.38737106323242
entailment,neutral,A man sits on a couch beside a colorful cushion with a pencil in his hand.,The man is holding a pencil.,A man sits on a couch beside a colorful cushion.,A man is sitting on a couch with a pencil beside him.,1,2,1,0.35294117647058826,1.1428571428571428,21.442529678344727,30.1195011138916
entailment,neutral,"Three men in yellow green safety vests sit on a bench yawning, smoking and having a break.",There are people seated.,Three men in yellow green safety vests sit on a bench.,Three men are seated on a bench.,1,1,1,0.3684210526315789,1.2,48.379390716552734,77.66002655029297
