Unnamed: 0,orig_pred,contrast_pred,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,diff_premise_probs,diff_hypothesis_probs
0,entailment,neutral,A man with a beard is talking on the cellphone and standing next to someone who is lying down on the street.,A man is prone on the street while another man stands next to him.,A man is talking on the cellphone and standing next to someone who is lying down on the street.,The man is conversing on the phone.,1,1,1,0.13043478260869565,0.6666666666666666,17.486825942993164,18.70244789123535,-0.014201343059539795,0.07384622097015381
1,entailment,neutral,A kid slides down a yellow slide into a swimming pool.,The child slides into the pool.,A kid slides down a yellow slide.,The child slides down the slide.,1,2,1,0.3333333333333333,0.2857142857142857,27.126312255859375,52.05702209472656,0.9072422496974468,0.002350926399230957
2,entailment,neutral,A woman talks on a cellphone while sitting in front of blue railings that are in front of the ocean.,She has a conversation on her phone outdoors,A woman talks on a cellphone while sitting in front of blue railings that are in front of the ocean.,She talks on her phone in front of the ocean.,1,1,1,0.0,1.125,22.920063018798828,39.119327545166016,0.0,0.028723597526550293
3,entailment,neutral,"A lady, dressed in a costume, is posing with an axe in the middle of the woods.",A lady with an axe is posing in the middle of the woods.,A lady is posing with an axe in the middle of the woods.,The lady is displaying the axe.,1,1,2,0.3,0.7142857142857143,23.000133514404297,12.458932876586914,-0.00895547866821289,0.6348841711878777
4,entailment,neutral,A man in a boom lift bucket welds.,A man is working.,A man is in a boom lift bucket welding.,The man is repairing.,1,1,2,0.2222222222222222,0.4,366.4859924316406,361.1435546875,0.07407259941101074,0.5944639146327972
5,entailment,neutral,"Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right.",Runners see a dragon costumed person,"Runners in various athletic garb, as well as one individual in a spotted-green costume, run to the right.",The runners see a person in a colorful costume.,1,0,1,0.041666666666666664,1.3333333333333333,62.50373077392578,93.18016815185547,0.35360729694366455,0.50617715716362
7,entailment,neutral,"Two uniformed women, wearing jackets saying ""Politie"" on the back, are looking at each other in front of a crowd.",The women are wearing clothes,"Two uniformed women, wearing jackets saying ""Politie"" on the back, are looking at each other in front of a crowd.",The women are wearing identical uniforms.,1,1,2,0.0,0.6,32.351478576660156,34.54871368408203,0.0,0.9227186944335699
8,entailment,neutral,A young man standing outside a laundromat.,A man is standing.,A young person is standing outside a laundromat.,The young man is waiting for his laundry to finish.,1,1,2,0.25,1.6,17.686391830444336,23.132911682128906,-0.40720605850219727,0.9765258627012372
9,entailment,neutral,Two people bicycle on a path separated by small mountains.,Two people are riding on bikes outside.,Two people cycle on a path surrounded by small hills.,The people are strolling.,1,1,0,0.2727272727272727,0.625,95.19525909423828,75.63697814941406,-0.0040010809898376465,0.9943329069355968
10,entailment,neutral,Bubbles surround a statue in the middle of a street.,There are bubbles around the statue.,Bubbles surround a statue in the middle of a street.,The bubbles are floating around the statue.,1,1,1,0.0,0.42857142857142855,37.22380065917969,33.5788688659668,0.0,-0.44704729318618774
11,entailment,neutral,A young boy hanging on a pole smiling at the camera.,The young boy is smiling.,A young boy is hanging on a pole.,The young boy is looking at something.,1,2,1,0.4166666666666667,0.5,43.254852294921875,40.003475189208984,0.9776073601096869,-0.14758074283599854
12,entailment,neutral,A man sits on a couch beside a colorful cushion with a pencil in his hand.,The man is holding a pencil.,A man sits on a couch beside a colorful cushion.,The man is doodling.,1,2,2,0.35294117647058826,0.42857142857142855,27.371252059936523,30.119535446166992,0.9606617726385593,0.9807170070707798
13,entailment,neutral,"Three men in yellow green safety vests sit on a bench yawning, smoking and having a break.",There are people seated.,Three men sit on a bench yawning and smoking.,The men are resting.,1,1,1,0.5263157894736842,0.8,79.08584594726562,69.73400115966797,0.0009922385215759277,-0.012932240962982178
14,entailment,neutral,"A man in gray on a rocky cliff, overlooking the mountains.",A man can see mountains from where he stands.,"A man in gray on a rocky cliff, overlooking the mountains.",The man is contemplating.,1,1,2,0.0,0.8,107.48568725585938,59.81275177001953,0.0,0.92156021296978
15,entailment,neutral,A hockey player in blue and red guarding the goal.,a person playing a sport,A person wearing blue and red clothing guarding a goal.,The player is defending the goal.,1,1,1,0.45454545454545453,1.4,52.78438186645508,139.3406982421875,-0.0921831727027893,0.005617737770080566
16,entailment,neutral,People standing in front of a gray building with a sign that reads' Tickets Available Here'.,The people are standing outside.,People are standing in front of a gray building with a sign that reads 'Tickets Available Here'.,The people are waiting in line.,1,1,2,0.05263157894736842,0.5,65.34518432617188,31.98844337463379,-0.0036954283714294434,0.8438359387218952
17,entailment,neutral,A solo shot of a man riding a four wheeler in an atv event.,The man is entered in a event.,A solo shot of a man riding a four wheeler in an atv event.,The man is participating in an ATV event.,1,1,1,0.0,0.375,46.89065170288086,89.84739685058594,0.0,0.12580382823944092
18,neutral,entailment,A Skier ski-jumping while two other skiers watch his act.,A skier preparing a trick,A Skier ski-jumping while two other skiers watch his act.,People are watching a skier preparing a trick.,2,2,2,0.0,1.0,96.33562469482422,112.2202377319336,0.0,-0.10913962125778198
19,entailment,neutral,Large brown dog walking in shallow water.,A brown dog is walking outside,A large dog is walking in shallow water.,The dog is swimming.,1,2,2,0.375,0.6666666666666666,91.7945327758789,50.803253173828125,0.8150766342878342,0.31423671543598175
21,entailment,contradiction,A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,A man is eating a marshmallow.,A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,A man is biting into a pink marshmallow chick.,1,1,1,0.0,0.5714285714285714,54.57435989379883,77.676513671875,0.0,0.0774463415145874
22,entailment,neutral,A man wearing a red vest is walking past a black and green fence.,A man is wearing a vest.,A man is walking past a black and green fence.,The man is wearing a black vest.,1,2,0,0.26666666666666666,0.2857142857142857,21.66839027404785,40.50434875488281,0.9860871778801084,0.9978046351461671
23,entailment,neutral,A young girl with water wings leaps into a crowded pool,There are people in a pool.,A young girl wears water wings and jumps into a crowded pool.,The young girl is swimming.,1,1,1,0.36363636363636365,0.8571428571428571,98.16941833496094,49.62016296386719,0.001035928726196289,-0.30407530069351196
24,entailment,neutral,A man sitting on steps with a child as a bystander walks by.,A man and a child sitting on steps saw a bystander.,A man sitting on steps with a child as a bystander walks by.,The man and child saw a bystander.,1,1,1,0.0,0.4166666666666667,43.07217788696289,36.269535064697266,0.0,-0.12752532958984375
25,entailment,neutral,The girl wearing a brown jacket whilst walking in snow.,The girl is walking outside.,The girl is wearing a brown jacket as she walks in the snow.,The girl is strolling.,1,1,1,0.45454545454545453,0.3333333333333333,117.84549713134766,23.602680206298828,0.0037109851837158203,0.004067540168762207
26,entailment,neutral,A young woman wearing a yellow shirt and off-white shorts is reading a book while sitting on a park bench.,A woman reading a book while sitting on a bench.,A young woman is sitting on a park bench.,The woman is reading a book while sitting on a bench.,1,2,1,0.5652173913043478,0.18181818181818182,12.26822280883789,17.784936904907227,0.9850205993279815,0.0033579468727111816
27,entailment,neutral,"An Asian woman in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.",A woman is preparing food for a child.,An Asian woman is preparing food for a child near by.,The woman is cooking for the boy.,1,1,1,0.7948717948717948,0.5555555555555556,59.732295989990234,38.39313507080078,-0.00023597478866577148,-0.018313825130462646
