Unnamed: 0,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,grammar_premise_gen_gpt_0.2,grammar_hypothesis_gen_gpt_0.2,cohesiveness_premise_gen_gpt_0.2,cohesiveness_hypothesis_gen_gpt_0.2,likableness_premise_gen_gpt_0.2,likableness_hypothesis_gen_gpt_0.2,fluency_premise_gen_gpt_0.2,fluency_hypothesis_gen_gpt_0.2,grammar_premise_gen_gpt_1.0,grammar_hypothesis_gen_gpt_1.0,cohesiveness_premise_gen_gpt_1.0,cohesiveness_hypothesis_gen_gpt_1.0,likableness_premise_gen_gpt_1.0,likableness_hypothesis_gen_gpt_1.0,fluency_premise_gen_gpt_1.0,fluency_hypothesis_gen_gpt_1.0,grammar_premise_gen_mistral_0.2,grammar_hypothesis_gen_mistral_0.2,cohesiveness_premise_gen_mistral_0.2,cohesiveness_hypothesis_gen_mistral_0.2,likableness_premise_gen_mistral_0.2,likableness_hypothesis_gen_mistral_0.2,fluency_premise_gen_mistral_0.2,fluency_hypothesis_gen_mistral_0.2,grammar_premise_gen_mistral_1.0,grammar_hypothesis_gen_mistral_1.0,cohesiveness_premise_gen_mistral_1.0,cohesiveness_hypothesis_gen_mistral_1.0,likableness_premise_gen_mistral_1.0,likableness_hypothesis_gen_mistral_1.0,fluency_premise_gen_mistral_1.0,fluency_hypothesis_gen_mistral_1.0
0,a man with a beard is talking on the cellphone and standing next to someone who is lying down on the street.,a man is prone on the street while another man stands next to him.,a man with a hat is relaxing on a cellphone and walks next to someone who is gazing down on the street.,[CLS] man is lying against the floor of another man kneeling next to him.,1,0,0,0.217391304347826,0.5333333333333333,37.80463790893555,40.56631088256836,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,4,1,3,1,3,1,3,2,5,1,1,1,2,1,3,1
1,a kid slides down a yellow slide into a swimming pool.,the child slides into the pool.,a foreman drinks down a man slide into a swimming pool.,the four change into the pool.,1,0,0,0.25,0.2857142857142857,91.55279541015624,81.45755767822266,1,2,1,4,1,3,1,2,1,2,1,4,1,3,2,1,3,3,1,1,3,3,3,3,5,2,1,3,3,3,5,2
2,a woman talks on a cellphone while sitting in front of blue railings that are in front of the ocean.,she has a conversation on her phone outdoors,a woman comes in a rowanphone while sitting in front of two liness that are in front of the throat.,she has a bear on her phone after,1,2,0,0.2857142857142857,0.25,51.54115676879883,142.83810424804688,1,2,2,4,1,2,1,4,2,2,2,3,2,3,1,3,4,5,3,3,3,3,4,5,4,4,4,3,3,3,4,5
3,"a lady, dressed in a costume, is posing with an axe in the middle of the woods.",a lady with an axe is posing in the middle of the woods.,"a masked, dressed in a costume, is seen with an expanse in the middle of the woods.",a knight with an eagle is shown in the middle of the woods.,1,2,0,0.15,0.2142857142857142,22.313596725463867,27.69892311096192,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,5,5,3,1,3,3,5,4,5,5,4,1,3,3,4,3
4,a man in a boom lift bucket welds.,a man is working.,a man in a midtown coat frame marlborough smokes.,[CLS] man is unemployed.,1,2,0,0.5555555555555556,0.8,473.9205932617188,281.56939697265625,2,4,1,1,1,1,2,1,2,2,2,1,2,1,1,1,5,1,1,1,3,1,5,1,3,1,1,1,5,1,5,1
5,"runners in various athletic garb, as well as one individual in a spotted - green dragon costume, run to the right.",runners see a dragon costumed person,"dogs in appropriate athletic garb, as well as one chapter in a japan in green dragon book, ride to the right.",macdonald ride a dragon costume in plush,1,0,0,0.2916666666666667,0.8333333333333334,246.4342803955078,298.07989501953125,1,2,1,2,2,2,1,2,1,2,1,2,2,2,2,2,3,3,3,0,3,2,4,4,3,2,2,1,2,2,4,3
6,"rider in ceremonial garb rides white arabian horse, also wearing ceremonial blankets and tassels.",the rider and horse are covered in gear.,"depicted in simplest garb ʔ statue vases, and wearing black curls and tassels.",[CLS] rider and bicycles are covered in baskets.,1,0,0,0.5625,0.5555555555555556,205.16781616210932,283.6061096191406,3,2,2,1,2,1,4,2,4,2,2,1,2,1,4,1,5,1,5,1,3,1,5,1,5,1,5,1,3,1,5,1
7,"two uniformed women, wearing jackets saying "" politie "" on the back, are looking at each other in front of a crowd.",the women are wearing clothes,"two shave women, a stone inscribed "" tipitie "" on the back, are positioned at each other in front of a table.",[CLS] women are wearing pajamas,1,2,0,0.28,0.8,58.90111541748047,104.40252685546876,2,1,2,1,2,1,2,1,2,1,3,1,3,1,4,1,5,1,1,1,3,1,5,1,5,1,2,1,2,1,5,1
8,a young man standing outside a laundromat.,a man is standing.,"a special man, at a laundromat.",[CLS] man is thrown up,1,2,0,0.375,1.0,84.76884460449219,98.96526336669922,2,1,2,1,2,1,2,2,2,2,2,1,3,2,4,1,5,1,5,0,5,1,5,1,4,1,5,0,5,1,5,1
9,two people bicycle on a path separated by small mountains.,two people are riding on bikes outside.,two spheres stands on a wall separated by several hills.,winning people are riding on them together.,1,0,2,0.4545454545454545,0.375,172.5142364501953,152.52609252929688,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,5,4,1,3,3,3,3,4,4,4,1,2,3,3,3,3
10,bubbles surround a statue in the middle of a street.,there are bubbles around the statue.,it is a statue in the middle of the park.,missiles are positioned around the statue.,1,2,0,0.3636363636363636,0.2857142857142857,68.85948944091797,31.211000442504883,4,3,5,2,4,2,4,2,4,2,5,3,5,3,4,2,5,5,4,1,5,3,5,3,5,5,5,3,5,3,5,5
11,a young boy hanging on a pole smiling at the camera.,the young boy is smiling.,a young boy tattooed on a wall pointing at the camera.,the young boy is interviewed.,1,2,2,0.25,0.1666666666666666,61.314064025878906,38.10004425048828,4,3,5,2,4,3,4,2,4,2,5,2,4,3,4,3,5,5,1,5,3,3,5,5,5,5,2,3,3,3,5,5
12,a man sits on a couch beside a colorful cushion with a pencil in his hand.,the man is holding a pencil.,a man sits on a couch beside a white couch with a bag in his hand.,[CLS] man is holding a cigarette.,1,0,0,0.1764705882352941,0.5714285714285714,48.761077880859375,20.81527709960937,3,2,2,1,2,1,4,2,2,2,2,1,2,1,4,2,5,1,3,1,3,1,4,1,5,1,5,1,3,1,4,1
13,"three men in yellow green safety vests sit on a bench yawning, smoking and having a break.",there are people seated.,"three men in a green jacket shines them on a wall sewning, charging and having a gun.",victims are gang heads.,1,0,2,0.4210526315789473,0.6,165.4010467529297,277.84747314453125,1,2,1,1,1,1,1,2,2,2,1,1,2,1,2,3,1,3,1,1,1,1,1,3,1,2,1,1,1,3,1,1
14,"a man in gray on a rocky cliff, overlooking the mountains.",a man can see mountains from where he stands.,"a light in blue on a green swirl, in the attic.",a man can see it from where he dies.,1,0,2,0.4615384615384615,0.2,80.12308502197266,112.83084106445312,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,5,1,4,3,3,3,4,3,5,1,4,3,1,1,5
15,a hockey player in blue and red guarding the goal.,a person playing a sport,a taft player in mel and red represent the character.,[CLS] blue playing a restricted,1,2,2,0.3636363636363636,1.0,259.2601928710937,519.9525146484375,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,5,5,5,3,5,5,5,5,5,3,5,1,4,2,5,4
16,people standing in front of a gray building with a sign that reads'tickets available here '.,the people are standing outside.,people sit in front of a red sofa with a sign that reads'soul lies here '.,[CLS] people are eating outside.,1,0,0,0.2941176470588235,0.6666666666666666,204.23779296875,134.57119750976562,4,2,2,1,2,1,2,2,4,2,2,2,4,2,2,2,4,1,1,1,3,1,1,1,3,1,1,1,1,1,2,1
17,a solo shot of a man riding a four wheeler in an atv event.,the man is entered in a event.,a video shot of a man riding a white horse in an avalanche landscape.,[CLS] two is set in a dream.,1,2,0,0.3333333333333333,0.75,135.4821319580078,100.17916870117188,4,2,2,1,3,1,4,2,4,1,2,1,3,1,5,2,4,1,3,1,3,1,4,1,4,1,3,1,3,1,4,1
18,a skier ski - jumping while two other skiers watch his act.,a skier preparing a trick,a psychiatrist achievement in riding while two other skiers watch his act.,[CLS] skier folding a chair,2,0,0,0.3076923076923077,1.0,263.9073791503906,551.4283447265625,2,1,2,1,2,1,2,1,2,3,2,1,2,1,1,1,3,1,1,1,3,1,5,1,3,1,2,1,1,1,5,1
19,large brown dog walking in shallow water.,a brown dog is walking outside,a hot dog inside in boiling water.,[CLS] brown dog is classified first,1,0,2,0.5,0.8333333333333334,440.8364868164063,183.5300750732422,1,4,1,3,1,3,1,4,1,4,1,3,1,3,1,4,1,5,1,5,1,5,3,5,1,5,1,5,1,5,5,5
20,a man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat.,two males are involved in martial arts.,"a sport in a red shirt and white pants, fly in the air performing a fly sax or a woman in a red shirt and black tie.",[CLS] students are involved in rebellious dancing.,1,0,0,0.3448275862068966,0.75,52.25282669067383,79.15481567382812,2,2,2,1,2,1,2,1,2,2,2,1,2,1,1,1,3,1,1,1,1,1,2,1,4,1,1,1,1,1,3,1
21,a guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,a man is eating a marshmallow.,a scene in films is kicking into a young marshmallow car while someone else is stretchering their way out using a car.,[CLS] man is cooking a brookmallow.,1,0,0,0.4347826086956521,0.7142857142857143,218.0761566162109,111.4781494140625,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,3,1,1,1,3,1,3,1,3,2,1,1,2,1,3,2
22,a man wearing a red vest is walking past a black and green fence.,a man is wearing a vest.,a group wearing a red hat is walking past a blue and white fence.,[CLS] black is wearing a sunglasses.,1,0,2,0.2666666666666666,0.7142857142857143,99.79203033447266,56.56102752685547,3,1,3,1,2,1,4,1,4,2,3,1,2,1,4,1,5,1,1,1,3,1,5,1,5,1,1,1,3,1,5,1
23,a young girl with water wings leaps into a crowded pool,there are people in a pool.,a beautiful girl with balloon wings transforms into a outdoor air,they are standing in a maze.,1,0,0,0.4545454545454545,0.4285714285714285,116.94168853759766,267.49920654296875,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1
24,a man sitting on steps with a child as a bystander walks by.,a man and a child sitting on steps saw a bystander.,a gig sitting on ten with a sights as a bystander walks by.,[CLS] man and a child sitting on steps chases a bystander.,1,0,0,0.2142857142857142,0.3333333333333333,47.4085693359375,247.515625,3,2,3,2,3,2,2,2,3,2,2,2,2,1,2,3,5,1,5,1,5,1,5,1,4,1,5,1,5,1,5,1
25,the girl wearing a brown jacket whilst walking in snow.,the girl is walking outside.,the girl becomes a purple dress while dressed in makeup.,[CLS] girl is crying..,1,0,0,0.5454545454545454,1.0,214.2802734375,128.03358459472656,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,1,1,1,1,1,1,3,1,4,1,1,1,2,1,2,1
26,a young woman wearing a yellow shirt and off - white shorts is reading a book while sitting on a park bench.,a woman reading a book while sitting on a bench.,a white man wearing a red shirt and black a white shorts is wearing a book while sitting on a park bench.,[CLS] woman licking a book while sitting on a bench.,1,0,0,0.2608695652173913,0.3636363636363636,47.628028869628906,26.207529067993164,2,1,2,1,2,1,2,1,2,1,1,1,3,1,2,1,5,1,3,1,3,1,5,5,3,3,4,1,4,1,4,3
