orig_pred,contrast_pred,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,orig_contrast_hypothesis_probs,orig_contrast_premise_probs,pred_edit_premise_probs,pred_edit_hypo_probs,diff_premise_probs,diff_hypothesis_probs
entailment,neutral,A man with a beard is talking on the cellphone and standing next to someone who is lying down on the street.,A man is prone on the street while another man stands next to him.,A man with a beard talks on the cellphone.,A man is standing next to someone who is lying down on the street.,1,0,1,0.6086956521739131,0.7333333333333333,9.382574081420898,36.14338302612305,0.9134471416473389,0.009005744941532612,0.9955714344978333,0.9742810726165771,0.9865656895563006,0.06083393096923828
entailment,neutral,A woman talks on a cellphone while sitting in front of blue railings that are in front of the ocean.,She has a conversation on her phone outdoors,A woman talks on a cellphone.,She talks on her phone near the ocean.,1,2,1,0.6666666666666666,0.875,31.085512161254883,53.51514434814453,0.9589788317680359,0.040782880038022995,0.9662399291992188,0.9781198501586914,0.9254570491611958,0.019141018390655518
entailment,neutral,A man in a boom lift bucket welds.,A man is working.,A man in a boom lift bucket welds.,A man is working in a boom lift bucket.,1,1,1,0.0,1.0,76.27272033691406,261.99713134765625,0.7340506911277771,0.7340506911277771,0.7340506911277771,0.8853998184204102,0.0,0.15134912729263306
entailment,neutral,"Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right.",Runners see a dragon costumed person,Runners in various athletic garb run to the right.,Runners see a person in a spotted-green costume.,1,0,1,0.5833333333333334,1.3333333333333333,47.907142639160156,178.94012451171875,0.4393097460269928,0.33357828855514526,0.80516517162323,0.9158064723014832,0.4715868830680847,0.47649672627449036
entailment,neutral,"Rider in ceremonial garb rides white Arabian horse, also wearing ceremonial blankets and tassels.",The rider and horse are covered in gear.,Rider rides horse.,The rider and horse are dressed in ceremonial attire.,1,2,1,0.75,0.3333333333333333,73.7411880493164,104.37924194335938,0.9897028803825378,0.010018883273005486,0.9291455149650574,0.988246738910675,0.9191266316920519,-0.001456141471862793
entailment,neutral,"Two uniformed women, wearing jackets saying ""Politie"" on the back, are looking at each other in front of a crowd.",The women are wearing clothes,Two uniformed women are looking at each other.,"Two uniformed women, wearing jackets saying ""Politie"" on the back, are looking at each other in front of a crowd outside.",1,1,1,0.64,4.8,10.101320266723633,34.1108283996582,0.991344690322876,0.991344690322876,0.9772891402244568,0.6632859706878662,-0.01405555009841919,-0.32805871963500977
entailment,neutral,A young man standing outside a laundromat.,A man is standing.,A young man stands outside a laundromat.,A young man is standing outside a laundromat.,1,1,1,0.125,0.8,9.226198196411133,24.366737365722656,0.995545506477356,0.995545506477356,0.9953085780143738,0.9872673153877258,-0.00023692846298217773,-0.008278191089630127
entailment,neutral,Two people bicycle on a path separated by small mountains.,Two people are riding on bikes outside.,Two people bicycle.,Two people are riding bicycles on a path.,1,1,1,0.6363636363636364,0.375,54.9933967590332,131.29598999023438,0.9825645089149475,0.9825645089149475,0.8226678371429443,0.9751644134521484,-0.15989667177200317,-0.007400095462799072
entailment,neutral,A young boy hanging on a pole smiling at the camera.,The young boy is smiling.,A young boy hangs on a pole.,A young boy is smiling at the camera.,1,2,1,0.4166666666666667,0.6666666666666666,25.351343154907227,35.38737106323242,0.9873419404029846,0.012479130178689957,0.9906423687934875,0.9635282754898071,0.9781632386147976,-0.02381366491317749
entailment,neutral,A man sits on a couch beside a colorful cushion with a pencil in his hand.,The man is holding a pencil.,A man sits on a couch beside a colorful cushion.,A man is sitting on a couch with a pencil beside him.,1,2,1,0.35294117647058826,1.1428571428571428,21.442529678344727,30.1195011138916,0.9888063669204712,0.010562778450548649,0.9712244272232056,0.9809502959251404,0.9606616487726569,-0.00785607099533081
entailment,neutral,"Three men in yellow green safety vests sit on a bench yawning, smoking and having a break.",There are people seated.,Three men in yellow green safety vests sit on a bench.,Three men are seated on a bench.,1,1,1,0.3684210526315789,1.2,48.379390716552734,77.66002655029297,0.9958271384239197,0.9958271384239197,0.9952563643455505,0.9851861596107483,-0.0005707740783691406,-0.010640978813171387
entailment,neutral,"A man in gray on a rocky cliff, overlooking the mountains.",A man can see mountains from where he stands.,A man stands on a rocky cliff.,"A man is standing on a rocky cliff, overlooking mountains.",1,2,1,0.46153846153846156,0.9,34.605812072753906,25.9208984375,0.9491656422615051,0.050392381846904755,0.9548346400260925,0.828200101852417,0.9044422581791878,-0.12096554040908813
entailment,neutral,People standing in front of a gray building with a sign that reads' Tickets Available Here'.,The people are standing outside.,People stand outside a building.,The people are standing outside a building with a sign that reads 'Tickets Available Here'.,1,1,1,0.7894736842105263,2.0,23.931474685668945,50.93133544921875,0.9661237597465515,0.9661237597465515,0.9891901016235352,0.9642155766487122,0.023066341876983643,-0.0019081830978393555
neutral,entailment,A Skier ski-jumping while two other skiers watch his act.,A skier preparing a trick,A Skier ski-jumping while two other skiers watch his act in the halfpipe., A skier preparing a trick while two other skiers watch.,2,2,0,0.23076923076923078,1.4,78.75062561035156,98.13890075683594,0.04477670043706894,0.8090499043464661,0.8861621618270874,0.6092446446418762,0.07711225748062134,0.5644679442048073
