,orig_premise,orig_hypothesis,adv_premise,adv_hypothesis,orig_label,adv_label
0,a man with a beard is talking on the cellphone and standing next to someone who is lying down on the street.,a man is prone on the street while another man stands next to him.,a man with a hat is relaxing on a cellphone and walks next to someone who is gazing down on the street.,a man is prone on the street while another man stands next to him.,1,0
1,a kid slides down a yellow slide into a swimming pool.,the child slides into the pool.,a foreman drinks down a man slide into a swimming pool.,the child slides into the pool.,1,0
2,a woman talks on a cellphone while sitting in front of blue railings that are in front of the ocean.,she has a conversation on her phone outdoors,a woman comes in a rowanphone while sitting in front of two liness that are in front of the throat.,she has a conversation on her phone outdoors,1,2
3,"a lady, dressed in a costume, is posing with an axe in the middle of the woods.",a lady with an axe is posing in the middle of the woods.,"a masked, dressed in a costume, is seen with an expanse in the middle of the woods.",a lady with an axe is posing in the middle of the woods.,1,2
4,a man in a boom lift bucket welds.,a man is working.,a man in a midtown coat frame marlborough smokes.,a man is working.,1,2
5,"runners in various athletic garb, as well as one individual in a spotted - green dragon costume, run to the right.",runners see a dragon costumed person,"dogs in appropriate athletic garb, as well as one chapter in a japan in green dragon book, ride to the right.",runners see a dragon costumed person,1,0
6,"rider in ceremonial garb rides white arabian horse, also wearing ceremonial blankets and tassels.",the rider and horse are covered in gear.,"depicted in simplest garb ʔ statue vases, and wearing black curls and tassels.",the rider and horse are covered in gear.,1,0
7,"two uniformed women, wearing jackets saying "" politie "" on the back, are looking at each other in front of a crowd.",the women are wearing clothes,"two shave women, a stone inscribed "" tipitie "" on the back, are positioned at each other in front of a table.",the women are wearing clothes,1,2
8,a young man standing outside a laundromat.,a man is standing.,"a special man, at a laundromat.",a man is standing.,1,2
9,two people bicycle on a path separated by small mountains.,two people are riding on bikes outside.,two spheres stands on a wall separated by several hills.,two people are riding on bikes outside.,1,0
10,bubbles surround a statue in the middle of a street.,there are bubbles around the statue.,it is a statue in the middle of the park.,there are bubbles around the statue.,1,2
11,a young boy hanging on a pole smiling at the camera.,the young boy is smiling.,a young boy tattooed on a wall pointing at the camera.,the young boy is smiling.,1,2
12,a man sits on a couch beside a colorful cushion with a pencil in his hand.,the man is holding a pencil.,a man sits on a couch beside a white couch with a bag in his hand.,the man is holding a pencil.,1,0
13,"three men in yellow green safety vests sit on a bench yawning, smoking and having a break.",there are people seated.,"three men in a green jacket shines them on a wall sewning, charging and having a gun.",there are people seated.,1,0
14,"a man in gray on a rocky cliff, overlooking the mountains.",a man can see mountains from where he stands.,"a light in blue on a green swirl, in the attic.",a man can see mountains from where he stands.,1,0
15,a hockey player in blue and red guarding the goal.,a person playing a sport,a taft player in mel and red represent the character.,a person playing a sport,1,2
16,people standing in front of a gray building with a sign that reads'tickets available here '.,the people are standing outside.,people sit in front of a red sofa with a sign that reads'soul lies here '.,the people are standing outside.,1,0
17,a solo shot of a man riding a four wheeler in an atv event.,the man is entered in a event.,a video shot of a man riding a white horse in an avalanche landscape.,the man is entered in a event.,1,2
18,a skier ski - jumping while two other skiers watch his act.,a skier preparing a trick,a psychiatrist achievement in riding while two other skiers watch his act.,a skier preparing a trick,2,0
19,large brown dog walking in shallow water.,a brown dog is walking outside,a hot dog inside in boiling water.,a brown dog is walking outside,1,0
20,a man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat.,two males are involved in martial arts.,"a sport in a red shirt and white pants, fly in the air performing a fly sax or a woman in a red shirt and black tie.",two males are involved in martial arts.,1,0
21,a guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,a man is eating a marshmallow.,a scene in films is kicking into a young marshmallow car while someone else is stretchering their way out using a car.,a man is eating a marshmallow.,1,0
22,a man wearing a red vest is walking past a black and green fence.,a man is wearing a vest.,a group wearing a red hat is walking past a blue and white fence.,a man is wearing a vest.,1,0
23,a young girl with water wings leaps into a crowded pool,there are people in a pool.,a beautiful girl with balloon wings transforms into a outdoor air,there are people in a pool.,1,0
24,a man sitting on steps with a child as a bystander walks by.,a man and a child sitting on steps saw a bystander.,a gig sitting on ten with a sights as a bystander walks by.,a man and a child sitting on steps saw a bystander.,1,0
25,the girl wearing a brown jacket whilst walking in snow.,the girl is walking outside.,the girl becomes a purple dress while dressed in makeup.,the girl is walking outside.,1,0
26,a young woman wearing a yellow shirt and off - white shorts is reading a book while sitting on a park bench.,a woman reading a book while sitting on a bench.,a white man wearing a red shirt and black a white shorts is wearing a book while sitting on a park bench.,a woman reading a book while sitting on a bench.,1,0
27,"an asian woman in a purple shirt preparing a bowl of food for the younger asian boy sitting near buy, while an asian man eats a roll and prepares to take some food up with his chopsticks.",a woman is preparing food for a child.,"an asian man in a white shirt provides a lot of food for the other asian traders sitting on stool, while an asian man eats a lot and seems to take some food off with his chopsticks.",a woman is preparing food for a child.,1,0
