orig_pred,contrast_pred,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,diff_premise_probs,diff_hypothesis_probs
entailment,neutral,A man with a beard is talking on the cellphone and standing next to someone who is lying down on the street.,A man is prone on the street while another man stands next to him.,A man with a beard talks on the cellphone.,A man is standing next to someone who is lying down on the street.,1,0,1,0.6086956521739131,0.7333333333333333,9.382574081420898,36.14338302612305,0.9865656895563006,0.06083393096923828
entailment,neutral,A woman talks on a cellphone while sitting in front of blue railings that are in front of the ocean.,She has a conversation on her phone outdoors,A woman talks on a cellphone.,She talks on her phone near the ocean.,1,2,1,0.6666666666666666,0.875,31.085512161254883,53.51514434814453,0.9254570491611958,0.019141018390655518
entailment,neutral,A man in a boom lift bucket welds.,A man is working.,A man in a boom lift bucket welds.,A man is working in a boom lift bucket.,1,1,1,0.0,1.0,76.27272033691406,261.99713134765625,0.0,0.15134912729263306
entailment,neutral,"Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right.",Runners see a dragon costumed person,Runners in various athletic garb run to the right.,Runners see a person in a spotted-green costume.,1,0,1,0.5833333333333334,1.3333333333333333,47.907142639160156,178.94012451171875,0.4715868830680847,0.47649672627449036
entailment,neutral,"Rider in ceremonial garb rides white Arabian horse, also wearing ceremonial blankets and tassels.",The rider and horse are covered in gear.,Rider rides horse.,The rider and horse are dressed in ceremonial attire.,1,2,1,0.75,0.3333333333333333,73.7411880493164,104.37924194335938,0.9191266316920519,-0.001456141471862793
entailment,neutral,"Two uniformed women, wearing jackets saying ""Politie"" on the back, are looking at each other in front of a crowd.",The women are wearing clothes,Two uniformed women are looking at each other.,"Two uniformed women, wearing jackets saying ""Politie"" on the back, are looking at each other in front of a crowd outside.",1,1,1,0.64,4.8,10.101320266723633,34.1108283996582,-0.01405555009841919,-0.32805871963500977
entailment,neutral,A young man standing outside a laundromat.,A man is standing.,A young man stands outside a laundromat.,A young man is standing outside a laundromat.,1,1,1,0.125,0.8,9.226198196411133,24.366737365722656,-0.00023692846298217773,-0.008278191089630127
entailment,neutral,Two people bicycle on a path separated by small mountains.,Two people are riding on bikes outside.,Two people bicycle.,Two people are riding bicycles on a path.,1,1,1,0.6363636363636364,0.375,54.9933967590332,131.29598999023438,-0.15989667177200317,-0.007400095462799072
entailment,neutral,A young boy hanging on a pole smiling at the camera.,The young boy is smiling.,A young boy hangs on a pole.,A young boy is smiling at the camera.,1,2,1,0.4166666666666667,0.6666666666666666,25.351343154907227,35.38737106323242,0.9781632386147976,-0.02381366491317749
entailment,neutral,A man sits on a couch beside a colorful cushion with a pencil in his hand.,The man is holding a pencil.,A man sits on a couch beside a colorful cushion.,A man is sitting on a couch with a pencil beside him.,1,2,1,0.35294117647058826,1.1428571428571428,21.442529678344727,30.1195011138916,0.9606616487726569,-0.00785607099533081
entailment,neutral,"Three men in yellow green safety vests sit on a bench yawning, smoking and having a break.",There are people seated.,Three men in yellow green safety vests sit on a bench.,Three men are seated on a bench.,1,1,1,0.3684210526315789,1.2,48.379390716552734,77.66002655029297,-0.0005707740783691406,-0.010640978813171387
entailment,neutral,"A man in gray on a rocky cliff, overlooking the mountains.",A man can see mountains from where he stands.,A man stands on a rocky cliff.,"A man is standing on a rocky cliff, overlooking mountains.",1,2,1,0.46153846153846156,0.9,34.605812072753906,25.9208984375,0.9044422581791878,-0.12096554040908813
entailment,neutral,People standing in front of a gray building with a sign that reads' Tickets Available Here'.,The people are standing outside.,People stand outside a building.,The people are standing outside a building with a sign that reads 'Tickets Available Here'.,1,1,1,0.7894736842105263,2.0,23.931474685668945,50.93133544921875,0.023066341876983643,-0.0019081830978393555
neutral,entailment,A Skier ski-jumping while two other skiers watch his act.,A skier preparing a trick,A Skier ski-jumping while two other skiers watch his act in the halfpipe., A skier preparing a trick while two other skiers watch.,2,2,0,0.23076923076923078,1.4,78.75062561035156,98.13890075683594,0.07711225748062134,0.5644679442048073
entailment,neutral,Large brown dog walking in shallow water.,A brown dog is walking outside,Large brown dog walking.,A brown dog is walking in shallow water.,1,2,1,0.375,0.6666666666666666,36.425575256347656,187.08152770996094,0.419147253036499,0.1689949631690979
entailment,neutral,A man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat.,Two males are involved in martial arts.,A man is jumping in the air performing a karate kick.,Two males are performing martial arts moves.,1,1,1,0.5862068965517241,0.375,31.174678802490234,57.8678092956543,-0.010700404644012451,0.005979061126708984
entailment,contradiction,A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,A man is eating a marshmallow.,A guy in glasses is biting into a blue marshmallow while somebody else is puckering their lips out wanting a bite.,A man is eating a rock.,1,1,0,0.08695652173913043,0.14285714285714285,96.55337524414062,65.8963623046875,0.07134908437728882,0.9501086324453354
entailment,neutral,A man wearing a red vest is walking past a black and green fence.,A man is wearing a vest.,A man wears a red vest.,A man is wearing a black and green vest.,1,1,0,0.6,0.42857142857142855,21.48550033569336,24.759075164794922,-0.004008293151855469,0.9959037839726079
entailment,neutral,A young girl with water wings leaps into a crowded pool,There are people in a pool.,A young girl leaps into a crowded pool.,A young girl is swimming in a crowded pool.,1,1,1,0.36363636363636365,0.8571428571428571,51.14240264892578,37.933837890625,-0.0006822943687438965,-0.38896268606185913
entailment,neutral,A man sitting on steps with a child as a bystander walks by.,A man and a child sitting on steps saw a bystander.,A man sits on steps with a child as a bystander walks by.,A man and a child are sitting on steps outside.,1,1,1,0.07142857142857142,0.3333333333333333,27.165924072265625,33.965728759765625,0.007777154445648193,-0.2267473340034485
