,orig_pred,contrast_pred,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis
0,entailment,neutral,A man with a beard is talking on the cellphone and standing next to someone who is lying down on the street.,A man is prone on the street while another man stands next to him.,A man is standing next to someone who is lying down on the street.,The man is conversing with someone on the phone while standing near the person lying on the street.
1,entailment,neutral,A kid slides down a yellow slide into a swimming pool.,The child slides into the pool.,A child slides down a yellow slide.,The child glides down the slide into the water.
2,entailment,neutral,A woman talks on a cellphone while sitting in front of blue railings that are in front of the ocean.,She has a conversation on her phone outdoors,A woman sits in front of blue railings that are in front of the ocean while using her phone.,She talks on her phone in front of the ocean.
3,entailment,neutral,"A lady, dressed in a costume, is posing with an axe in the middle of the woods.",A lady with an axe is posing in the middle of the woods.,A woman is posing with an axe in the middle of the woods.,The lady is holding an axe for a photo shoot.
4,entailment,neutral,A man in a boom lift bucket welds.,A man is working.,A man is in a boom lift bucket welding.,The man is repairing the lift.
5,entailment,neutral,"Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right.",Runners see a dragon costumed person,"Runners in various athletic garb, as well as one individual in a green costume, run to the right.",The runners see a person in a green costume.
6,entailment,neutral,"Rider in ceremonial garb rides white Arabian horse, also wearing ceremonial blankets and tassels.",The rider and horse are covered in gear.,"Rider in ceremonial garb rides white Arabian horse, also wearing ceremonial blankets and tassels.",The rider and horse are attired in ceremonial garb.
7,entailment,neutral,"Two uniformed women, wearing jackets saying ""Politie"" on the back, are looking at each other in front of a crowd.",The women are wearing clothes,"Two uniformed women, wearing jackets with ""Politie"" on the back, are looking at each other in front of a crowd.",The women are wearing uniforms.
8,entailment,neutral,A young man standing outside a laundromat.,A man is standing.,A young person is standing outside a laundromat.,The young man is waiting for his laundry.
9,entailment,neutral,Two people bicycle on a path separated by small mountains.,Two people are riding on bikes outside.,Two people are cycling on a path separated by small hills.,The people are strolling.
10,entailment,neutral,Bubbles surround a statue in the middle of a street.,There are bubbles around the statue.,Bubbles surround a statue in the middle of a street.,The bubbles are floating around the statue.
11,entailment,neutral,A young boy hanging on a pole smiling at the camera.,The young boy is smiling.,A young boy is hanging on a pole.,The young boy is curiously looking around.
12,entailment,neutral,A man sits on a couch beside a colorful cushion with a pencil in his hand.,The man is holding a pencil.,A man sits on a couch beside a colorful cushion.,The man is doodling.
13,entailment,neutral,"Three men in yellow green safety vests sit on a bench yawning, smoking and having a break.",There are people seated.,"Three people in yellow green safety vests sit on a bench yawning, smoking and having a break.",The men are taking a break.
14,entailment,neutral,"A man in gray on a rocky cliff, overlooking the mountains.",A man can see mountains from where he stands.,"A man is standing on a rocky cliff, overlooking the mountains.",The man is contemplating.
15,entailment,neutral,A hockey player in blue and red guarding the goal.,a person playing a sport,A person wearing blue and red clothing guarding a goal.,The person is playing a sport.
16,entailment,neutral,People standing in front of a gray building with a sign that reads' Tickets Available Here'.,The people are standing outside.,People are standing in front of a building with a sign that reads 'Tickets Available Here'.,The people are waiting in line.
17,entailment,neutral,A solo shot of a man riding a four wheeler in an atv event.,The man is entered in a event.,A solo shot of a man riding a four wheeler in an atv event.,The man is participating in an ATV event.
18,neutral,entailment,A Skier ski-jumping while two other skiers watch his act.,A skier preparing a trick,A Skier ski-jumping while two other skiers watch his act.,People are watching a skier preparing a trick.
19,entailment,neutral,Large brown dog walking in shallow water.,A brown dog is walking outside,A large brown dog is walking in shallow water.,The dog is swimming.
20,entailment,neutral,A man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat.,Two males are involved in martial arts.,A person is jumping in the air performing a karate kick.,The two males are sparring.
21,entailment,contradiction,A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,A man is eating a marshmallow.,A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,A man is biting into a pink marshmallow chick while another person is puckering their lips out wanting a bite.
22,entailment,neutral,A man wearing a red vest is walking past a black and green fence.,A man is wearing a vest.,A man is walking past a fence.,The man is strolling past the fence.
23,entailment,neutral,A young girl with water wings leaps into a crowded pool,There are people in a pool.,A young girl wears water wings and jumps into a crowded pool.,The young girl is swimming.
24,entailment,neutral,A man sitting on steps with a child as a bystander walks by.,A man and a child sitting on steps saw a bystander.,A man is sitting on steps with a child as a bystander walks by.,The man and child saw a bystander.
25,entailment,neutral,The girl wearing a brown jacket whilst walking in snow.,The girl is walking outside.,The girl is wearing a brown jacket while walking in snow.,The girl is walking in the snow.
26,entailment,neutral,A young woman wearing a yellow shirt and off-white shorts is reading a book while sitting on a park bench.,A woman reading a book while sitting on a bench.,A young woman is sitting on a park bench reading a book.,The woman is reading a novel.
27,entailment,neutral,"An Asian woman in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.",A woman is preparing food for a child.,,The woman is preparing a meal for the boy.
28,entailment,neutral,A woman and child are on a boat and the woman is looking out into the ocean through a scope.,A lady is looking through a scope at the ocean.,"A woman and child are on a boat, and the woman is looking out into the ocean through a scope.",The woman is scanning the ocean through a scope.
29,entailment,neutral,An Indian woman stands in an outdoor marketplace.,A female is outdoors at a bazaar.,An Indian woman is in an outdoor marketplace.,The woman is shopping.
30,entailment,neutral,two teen boys in school clothes are walking with something in a garbage bag.,Two boys are walking together carrying a bag.,Two teen boys in school clothes are walking with something in a garbage bag.,The boys are carrying their schoolbooks.
31,entailment,neutral,"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging.,"Two children, both wearing similar coats, are embracing one another.",The children are siblings.
32,entailment,neutral,A group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them.,Shoppers purchasing vegetables at a busy public market.,A group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them.,The consumers are browsing through the market to select fresh produce.
33,entailment,neutral,Several street vehicles pass by a traditional architecture style of Thailand.,Vehicles are going down a street in Thailand.,Several vehicles pass by a traditional architecture style of Thailand.,The vehicles are cruising down the street in Thailand.
34,entailment,neutral,A man wearing a shite short-sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street.,A man is kissing a woman,,The man is hugging the woman.
35,entailment,neutral,A young woman is wearing a paper crown at an outdoor event.,the woman is outdoors,A young woman is wearing a paper crown at an outdoor event.,The woman is attending a festival.
36,entailment,neutral,Two women look at a table with assorted items on it in some sort of market that others are currently browsing.,two women are looking,Two women are looking at a table with assorted items on it in some sort of market that others are currently browsing.,The women are examining the items.
37,entailment,neutral,A fat woman wearing faint blue top is blowing soap bubble.,A fat woman is wearing a shirt.,A woman is blowing soap bubbles.,The woman is wearing a light blue top.
38,entailment,neutral,A man in a suit driving a horse-drawn buggy down a stone street.,The man is driving a buggy.,A man is riding a horse-drawn buggy down a stone street.,The man is taking a leisurely drive in his buggy.
