orig_premise,orig_hypothesis,gold_label,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,diff_premise_probs,diff_hypothesis_probs
A man with a beard is talking on the cellphone and standing next to someone who is lying down on the street.,A man is prone on the street while another man stands next to him.,neutral,A man with a beard is talking on the cellphone and standing next to someone who is on the street.,A man is alone on the street.,1,0,0,0.08695652173913043,0.5333333333333333,20.797657012939453,19.555648803710938,0.9471462173387408,0.9893531603738666
A kid slides down a yellow slide into a swimming pool.,The child slides into the pool.,neutral,A kid slides down a yellow slide.,The man slides into the pool.,1,2,0,0.3333333333333333,0.14285714285714285,32.10151672363281,52.051483154296875,0.907242314890027,0.9982405134360306
A woman talks on a cellphone while sitting in front of blue railings that are in front of the ocean.,She has a conversation on her phone outdoors,neutral,A woman talks on a cellphone while sitting in front of blue railings.,She has a conversation on her Iphone outdoors,1,2,2,0.3333333333333333,0.125,48.56853103637695,45.91086959838867,0.4892290122807026,0.9361690171062946
"A lady, dressed in a costume, is posing with an axe in the middle of the woods.",A lady with an axe is posing in the middle of the woods.,neutral,"An older lady, dressed in a costume, is posing with an axe in the middle of the woods.",A lady with an axe is posing in the middle of the dark woods.,1,1,2,0.1,0.07142857142857142,15.124727249145508,13.279610633850098,0.010374486446380615,0.9565271064639091
A man in a boom lift bucket welds.,A man is working.,neutral,A person in a boom lift bucket welds.,A man is working hard.,1,2,2,0.1111111111111111,0.2,226.86703491210938,357.10003662109375,0.5518837571144104,0.6514459848403931
"Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right.",Runners see a dragon costumed person,neutral,"Runners in various athletic garb, as well as one individual in a spotted-green costume, run to the right.",The men see a dragon costumed person,1,0,1,0.041666666666666664,0.3333333333333333,97.65644836425781,93.16963958740234,0.3536064624786377,0.21712741255760193
"Rider in ceremonial garb rides white Arabian horse, also wearing ceremonial blankets and tassels.",The rider and horse are covered in gear.,neutral,Rider in plain clothes rides white Arabian horse.,The rider and horse are in a parade.,1,0,2,0.5625,0.3333333333333333,102.84951782226562,148.89089965820312,0.9990206632064655,0.9859164375811815
"Two uniformed women, wearing jackets saying ""Politie"" on the back, are looking at each other in front of a crowd.",The women are wearing clothes,neutral,"Two tall uniformed officers, wearing jackets saying ""Politie"" on the back, are looking at each other in front of a crowd.",The women are wearing red clothes,1,1,2,0.08,0.2,35.366817474365234,47.349639892578125,-0.3775995373725891,0.9775905590504408
A young man standing outside a laundromat.,A man is standing.,neutral,A young man outside a laundromat.,A man is standing by a table.,1,1,0,0.125,0.6,25.867433547973633,46.51856994628906,-0.38629376888275146,0.964589563300251
Two people bicycle on a path separated by small mountains.,Two people are riding on bikes outside.,neutral,Two people are on a path separated by small mountains.,Two people are riding on bikes outside on a sunny day.,1,2,2,0.09090909090909091,0.5,67.4840087890625,95.7275619506836,0.7754589058458805,0.9648002125322819
Bubbles surround a statue in the middle of a street.,There are bubbles around the statue.,neutral,Bubbles surround an object in the middle of a street.,The statue is part of a fountain.,1,2,2,0.18181818181818182,1.0,29.157716751098633,36.48210906982422,0.9771691933274269,0.9915472641587257
A young boy hanging on a pole smiling at the camera.,The young boy is smiling.,neutral,A young boy hanging on a pole looking at the camera.,The young boy has a blank stare.,1,2,0,0.08333333333333333,0.6666666666666666,43.68764114379883,41.136959075927734,0.977232750505209,0.999498792050872
A man sits on a couch beside a colorful cushion with a pencil in his hand.,The man is holding a pencil.,neutral,A man sits on a couch beside a colorful cushion with something in his hand.,The man is holding a colorful pencil.,1,2,2,0.11764705882352941,0.14285714285714285,22.152719497680664,25.023210525512695,0.9850412597879767,0.9727029791101813
"Three men in yellow green safety vests sit on a bench yawning, smoking and having a break.",There are people seated.,neutral,"Three men in yellow green safety vest are on a bench yawning, smoking and having a break.",There are business people seated.,1,1,2,0.10526315789473684,0.2,97.41111755371094,125.28770446777344,-0.016053438186645508,0.8251391765661538
"A man in gray on a rocky cliff, overlooking the mountains.",A man can see mountains from where he stands.,neutral,"A man in gray on a rocky cliff, overlooking nature.",A man can see snowy mountains from where he stands.,1,2,2,0.15384615384615385,0.1,71.12060546875,77.82647705078125,0.8890875652432442,0.9322167709469795
A hockey player in blue and red guarding the goal.,a person playing a sport,neutral,A person in blue and red near the goal.,a person playing a guitar,1,1,0,0.2727272727272727,0.2,163.5296630859375,143.62257385253906,-0.15348678827285767,0.9996804102265742
