,orig_premise,orig_hypothesis,adv_premise,adv_hypothesis,orig_label,adv_label
0,a man with a beard is talking on the cellphone and standing next to someone who is lying down on the street.,a man is prone on the street while another man stands next to him.,a man with a beard is talking on the cellphone and standing next to someone who is lying down on the street.,[CLS] man is lying against the floor of another man kneeling next to him.,1,0
1,a kid slides down a yellow slide into a swimming pool.,the child slides into the pool.,a kid slides down a yellow slide into a swimming pool.,the four change into the pool.,1,0
2,a woman talks on a cellphone while sitting in front of blue railings that are in front of the ocean.,she has a conversation on her phone outdoors,a woman talks on a cellphone while sitting in front of blue railings that are in front of the ocean.,she has a bear on her phone after,1,0
3,"a lady, dressed in a costume, is posing with an axe in the middle of the woods.",a lady with an axe is posing in the middle of the woods.,"a lady, dressed in a costume, is posing with an axe in the middle of the woods.",a knight with an eagle is shown in the middle of the woods.,1,0
4,a man in a boom lift bucket welds.,a man is working.,a man in a boom lift bucket welds.,[CLS] man is unemployed.,1,0
5,"runners in various athletic garb, as well as one individual in a spotted - green dragon costume, run to the right.",runners see a dragon costumed person,"runners in various athletic garb, as well as one individual in a spotted - green dragon costume, run to the right.",macdonald ride a dragon costume in plush,1,0
6,"rider in ceremonial garb rides white arabian horse, also wearing ceremonial blankets and tassels.",the rider and horse are covered in gear.,"rider in ceremonial garb rides white arabian horse, also wearing ceremonial blankets and tassels.",[CLS] rider and bicycles are covered in baskets.,1,0
7,"two uniformed women, wearing jackets saying "" politie "" on the back, are looking at each other in front of a crowd.",the women are wearing clothes,"two uniformed women, wearing jackets saying "" politie "" on the back, are looking at each other in front of a crowd.",[CLS] women are wearing pajamas,1,0
8,a young man standing outside a laundromat.,a man is standing.,a young man standing outside a laundromat.,[CLS] man is thrown up,1,0
9,two people bicycle on a path separated by small mountains.,two people are riding on bikes outside.,two people bicycle on a path separated by small mountains.,winning people are riding on them together.,1,2
10,bubbles surround a statue in the middle of a street.,there are bubbles around the statue.,bubbles surround a statue in the middle of a street.,missiles are positioned around the statue.,1,0
11,a young boy hanging on a pole smiling at the camera.,the young boy is smiling.,a young boy hanging on a pole smiling at the camera.,the young boy is interviewed.,1,2
12,a man sits on a couch beside a colorful cushion with a pencil in his hand.,the man is holding a pencil.,a man sits on a couch beside a colorful cushion with a pencil in his hand.,[CLS] man is holding a cigarette.,1,0
13,"three men in yellow green safety vests sit on a bench yawning, smoking and having a break.",there are people seated.,"three men in yellow green safety vests sit on a bench yawning, smoking and having a break.",victims are gang heads.,1,2
14,"a man in gray on a rocky cliff, overlooking the mountains.",a man can see mountains from where he stands.,"a man in gray on a rocky cliff, overlooking the mountains.",a man can see it from where he dies.,1,2
15,a hockey player in blue and red guarding the goal.,a person playing a sport,a hockey player in blue and red guarding the goal.,[CLS] blue playing a restricted,1,2
16,people standing in front of a gray building with a sign that reads'tickets available here '.,the people are standing outside.,people standing in front of a gray building with a sign that reads'tickets available here '.,[CLS] people are eating outside.,1,0
17,a solo shot of a man riding a four wheeler in an atv event.,the man is entered in a event.,a solo shot of a man riding a four wheeler in an atv event.,[CLS] two is set in a dream.,1,0
18,a skier ski - jumping while two other skiers watch his act.,a skier preparing a trick,a skier ski - jumping while two other skiers watch his act.,[CLS] skier folding a chair,2,0
19,large brown dog walking in shallow water.,a brown dog is walking outside,large brown dog walking in shallow water.,[CLS] brown dog is classified first,1,2
20,a man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat.,two males are involved in martial arts.,a man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat.,[CLS] students are involved in rebellious dancing.,1,0
21,a guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,a man is eating a marshmallow.,a guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,[CLS] man is cooking a brookmallow.,1,0
