data_idx,sorted_idx,orig_pred,new_pred,contrast_pred,orig_contrast_prob_pred,new_contrast_prob_pred,orig_input,edited_input,orig_editable_seg,edited_editable_seg,minimality,num_edit_rounds,mask_frac,duration,error,llama_premise,llama_hypothesis
0,0,entailment,neutral,neutral,0.1952773928642273,0.3754976,"{'sentence1': 'A man with a beard is talking on the cellphone and standing next to someone who is lying down on the street.', 'sentence2': 'A man is prone on the street while another man stands next to him.'}","{'sentence1': ' A man with  a beard  is talking on  his cellphone while standing next  to another man who  is bent down on the street.', 'sentence2': 'A man is prone on the street while another man stands next to him.'}",A man with a beard is talking on the cellphone and standing next to someone who is lying down on the street. , A man with  a beard  is talking on  his cellphone while standing next  to another man who  is bent down on the street.,0.217391304347826,1.0,0.446875,2.525018215179444,False,A man with a beard talks on the cellphone.,A man is standing next to someone who is lying down on the street.
2,0,entailment,neutral,neutral,0.0376455038785934,0.5199812,"{'sentence1': 'A woman talks on a cellphone while sitting in front of blue railings that are in front of the ocean.', 'sentence2': 'She has a conversation on her phone outdoors'}","{'sentence1': ' The woman is on  her phone, while sitting  in front  of railings that are  in front of the ocean.', 'sentence2': 'She has a conversation on her phone outdoors'}",A woman talks on a cellphone while sitting in front of blue railings that are in front of the ocean. ," The woman is on  her phone, while sitting  in front  of railings that are  in front of the ocean.",0.2857142857142857,1.0,0.4125,1.489210605621338,False,A woman talks on a cellphone.,She talks on her phone near the ocean.
4,0,entailment,neutral,neutral,0.276498407125473,0.8665356,"{'sentence1': 'A man in a boom lift bucket welds.', 'sentence2': 'A man is working.'}","{'sentence1': 'A man in green shoes nods.', 'sentence2': 'A man is working.'}",A man in a boom lift bucket welds. ,A man in green shoes nods.,0.5555555555555556,1.0,0.4125,0.7717132568359375,False,A man in a boom lift bucket welds.,A man is working in a boom lift bucket.
5,0,entailment,neutral,neutral,0.0894058793783187,0.80176926,"{'sentence1': 'Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right.', 'sentence2': 'Runners see a dragon costumed person'}","{'sentence1': 'Runners in various athletic garb,  such as  one in a spotted-dangerous costume, run to the right.', 'sentence2': 'Runners see a dragon costumed person'}","Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right. ","Runners in various athletic garb,  such as  one in a spotted-dangerous costume, run to the right.",0.2083333333333333,1.0,0.240625,1.226743459701538,False,Runners in various athletic garb run to the right.,Runners see a person in a spotted-green costume.
6,0,entailment,neutral,neutral,0.0167581569403409,0.65431863,"{'sentence1': 'Rider in ceremonial garb rides white Arabian horse, also wearing ceremonial blankets and tassels.', 'sentence2': 'The rider and horse are covered in gear.'}","{'sentence1': '  A  mighty bull rides with  a horse rider ins  aris and aprons.', 'sentence2': 'The rider and horse are covered in gear.'}","Rider in ceremonial garb rides white Arabian horse, also wearing ceremonial blankets and tassels. ",  A  mighty bull rides with  a horse rider ins  aris and aprons.,0.75,3.0,0.446875,7.418390274047852,False,Rider rides horse.,The rider and horse are dressed in ceremonial attire.
7,0,entailment,neutral,neutral,0.0147724784910678,0.5281247,"{'sentence1': 'Two uniformed women, wearing jackets saying ""Politie"" on the back, are looking at each other in front of a crowd.', 'sentence2': 'The women are wearing clothes'}","{'sentence1': ' Two women, saying  ""single kisse"" on the back, are looking at each other in front of  a crowd.', 'sentence2': 'The women are wearing clothes'}","Two uniformed women, wearing jackets saying ""Politie"" on the back, are looking at each other in front of a crowd. "," Two women, saying  ""single kisse"" on the back, are looking at each other in front of  a crowd.",0.2,1.0,0.4125,1.5197973251342771,False,Two uniformed women are looking at each other.,"Two uniformed women, wearing jackets saying ""Politie"" on the back, are looking at each other in front of a crowd outside."
8,0,entailment,neutral,neutral,0.0065641826950013,0.73438627,"{'sentence1': 'A young man standing outside a laundromat.', 'sentence2': 'A man is standing.'}","{'sentence1': 'A  person is standing outside a laundromat.', 'sentence2': 'A man is standing.'}",A young man standing outside a laundromat. ,A  person is standing outside a laundromat.,0.25,1.0,0.20625,0.6530258655548096,False,A young man stands outside a laundromat.,A young man is standing outside a laundromat.
9,0,entailment,neutral,neutral,0.0255034994333982,0.91953695,"{'sentence1': 'Two people bicycle on a path separated by small mountains.', 'sentence2': 'Two people are riding on bikes outside.'}","{'sentence1': '  Two people riding by mountain in the mountains.', 'sentence2': 'Two people are riding on bikes outside.'}",Two people bicycle on a path separated by small mountains. ,  Two people riding by mountain in the mountains.,0.6363636363636364,2.0,0.4125,1.687185525894165,False,Two people bicycle.,Two people are riding bicycles on a path.
11,0,entailment,neutral,neutral,0.0159101709723472,0.6513923,"{'sentence1': 'A young boy hanging on a pole smiling at the camera.', 'sentence2': 'The young boy is smiling.'}","{'sentence1': 'A young  child is hanging on  rope and smiling at the camera.', 'sentence2': 'The young boy is smiling.'}",A young boy hanging on a pole smiling at the camera. ,A young  child is hanging on  rope and smiling at the camera.,0.3333333333333333,1.0,0.275,0.8608832359313965,False,A young boy hangs on a pole.,A young boy is smiling at the camera.
12,0,entailment,neutral,neutral,0.0131514435634016,0.99788505,"{'sentence1': 'A man sits on a couch beside a colorful cushion with a pencil in his hand.', 'sentence2': 'The man is holding a pencil.'}","{'sentence1': 'A  man sits on  his couch beside  a desk, with  something in his hand.', 'sentence2': 'The man is holding a pencil.'}",A man sits on a couch beside a colorful cushion with a pencil in his hand. ,"A  man sits on  his couch beside  a desk, with  something in his hand.",0.2941176470588235,1.0,0.4125,1.3919782638549805,False,A man sits on a couch beside a colorful cushion.,A man is sitting on a couch with a pencil beside him.
